tweet_id,sentiment
1212339524971499525,Positive
1213230490288902146,Neutral
1213144067133059073,Neutral
1212334734996623364,Positive
1213839922035081218,Neutral
1214832217022763008,Mixed
1212796200472207361,Neutral
1204776240869064704,Neutral
1214093347578621952,Negative
1213930625155162112,Neutral
1213237434621812737,Negative
1201259153060057088,Mixed
1201197173687439361,Positive
1213163592264167429,Neutral
1204489518340038662,Neutral
1212812081386475521,Negative
1212403227171405824,Neutral
1214074702836183040,Mixed
1213897553449832449,Neutral
1212533661423280135,Neutral
1214190744740732928,Negative
1214167075280900097,Neutral
1213776766088679425,Neutral
1201212349534932992,Positive
1213239754126319617,Neutral
1201328409957273601,Negative
1212382034045415426,Positive
1214032883955970049,Negative
1214239657770307585,Negative
1214055143265722368,Negative
1213788850268581888,Positive
1214214702584279040,Neutral
1212528916348448769,Negative
1200975195709825024,Negative
1213864172515201024,Positive
1212487915311423489,Positive
1213922583009214465,Mixed
1214107129189216258,Neutral
1201182508836179969,Positive
1212329630356652034,Positive
1212147461109755904,Positive
1201374712322019328,Negative
1213004793045831680,Negative
1212986082029117440,Negative
1201277226542649349,Positive
1213228733403979776,Positive
1215350221171044352,Mixed
1212323672234635265,Positive
1213848942624030720,Neutral
1213003073586642945,Positive
1212581753598156802,Neutral
1201299804330090497,Positive
1214829428024467459,Positive
1203734512858882049,Positive
1212457100233920513,Neutral
1213861748710760450,Neutral
1213027141975203840,Positive
1212465191885189120,Neutral
1212906330966482944,Neutral
1212217229426806785,Neutral
1213780029710188544,Neutral
1209560155135848451,Positive
1201027328161267712,Negative
1213785587544678400,Positive
1212907359770685440,Negative
1212466077302743041,Negative
1214134022017650693,Neutral
1201029409278451715,Neutral
1212776625529610241,Neutral
1213230037681487875,Neutral
1212758919795351553,Neutral
1212248279645208578,Negative
1214031536145784832,Negative
1201072249895358465,Negative
1213951663876259842,Neutral
1201446839519719424,Neutral
1212174878834601987,Positive
1213684948219179008,Negative
1213225254962642944,Negative
1202115443663790080,Negative
1200971406319579137,Neutral
1212477742496665600,Neutral
1212483674425430016,Mixed
1214201526299873281,Neutral
1201441399855603712,Positive
1214228171844964352,Mixed
1212155673460523008,Negative
1201211597139693574,Negative
1201390310925967361,Negative
1212923303138119685,Neutral
1214111112783912960,Neutral
1212530919418019840,Neutral
1201480682280804352,Mixed
1214065440990912513,Negative
1201107991916924928,Positive
1201489915449663488,Negative
1212352227031040001,Neutral
1214841551895044097,Positive
1201188773222064129,Neutral
1201111221392609282,Neutral
1212719312273891328,Neutral
1212377372814708739,Neutral
1203911287039770624,Negative
1212791988745113600,Neutral
1213132690209292288,Negative
1214137740020920320,Neutral
1212321883154190336,Negative
1201011228375691264,Negative
1201137372525711362,Negative
1213720324686135296,Negative
1212445207372931083,Neutral
1201343285949878272,Negative
1203055150090330112,Neutral
1214066596450312192,Neutral
1212298099856695297,Positive
1212743486606397441,Neutral
1215291572125827077,Positive
1213179098903781376,Neutral
1201110244144926721,Mixed
1213115841455304704,Neutral
1213242656400302082,Positive
1212439687673131012,Mixed
1201457178655252482,Positive
1212294113749590016,Neutral
1212511301248770048,Neutral
1212565537143832576,Neutral
1213773039906803713,Positive
1214110467628699648,Neutral
1213926096648970242,Negative
1212295912199987201,Positive
1213309432882507776,Positive
1213035546878058499,Positive
1212440128561516544,Neutral
1201498523180642305,Neutral
1212275725568335872,Neutral
1210912598633398272,Negative
1212988255555268619,Neutral
1213753040391540736,Neutral
1212179061818171393,Mixed
1212800423809167360,Neutral
1214183688503799809,Positive
1212390541058428929,Neutral
1214092260129886209,Neutral
1201425056968007681,Negative
1214098865185386498,Neutral
1209580405042634753,Neutral
1215958389181775872,Mixed
1201105575460974592,Neutral
1212710586921959425,Neutral
1213082838704234496,Negative
1213908125054623745,Mixed
1214038581372686337,Negative
1213790781334605825,Negative
1212455733154996226,Neutral
1212743029439844352,Neutral
1212795036548714496,Neutral
1216076751559741446,Mixed
1214557363887230978,Positive
1208382457491398657,Neutral
1213791459075342336,Neutral
1214100298714632193,Negative
1214012714726522881,Neutral
1209052665449197568,Neutral
1213815560343080960,Neutral
1200944820484595712,Neutral
1201220611961430016,Neutral
1201364459178082305,Negative
1213868039101452298,Neutral
1213881367962038274,Neutral
1212982120316121090,Positive
1212170726184300545,Neutral
1214240905886097408,Positive
1213843671759695872,Neutral
1201460780929032198,Neutral
1214191496678772738,Neutral
1212992747231162369,Negative
1215904357386006529,Positive
1214121475000750081,Neutral
1214120768084365312,Neutral
1213037541483536384,Negative
1212449106792255489,Neutral
1212216395951419392,Neutral
1212474551986216961,Neutral
1213849574781181952,Neutral
1213137620257198081,Neutral
1203856159708499968,Mixed
1212764804974358528,Neutral
1201134725496279041,Positive
1212789654044446720,Neutral
1200962429456453632,Negative
1212446526116634625,Neutral
1212901033611014145,Negative
1213774787585200128,Positive
1212990157672124416,Neutral
1201377536388796416,Positive
1215880513082228736,Positive
1212397207107887104,Neutral
1214126034687279104,Positive
1212781773710598144,Mixed
1212233601443606528,Positive
1212791752240902144,Positive
1213100218822078464,Negative
1214168464132325377,Neutral
1213915817290715149,Neutral
1212583801836187651,Neutral
1212446935774306304,Neutral
1212796473282195456,Neutral
1213107282218770439,Negative
1212316772289961985,Neutral
1213896150190821378,Negative
1201448653983895552,Neutral
1213740201199251456,Positive
1201086839165202432,Neutral
1212764146669895681,Neutral
1213100667398545408,Neutral
1213026329618210816,Negative
1213888913577656320,Neutral
1204213935991402496,Negative
1215294152314904578,Positive
1201513345112854528,Negative
1214231073426755585,Positive
1214714620792971265,Positive
1212507321915629574,Neutral
1213012925939699718,Neutral
1212157907330125831,Neutral
1213142439210504192,Neutral
1213916749915213824,Neutral
1200991593425178625,Neutral
1213892048878755840,Positive
1212714086808670209,Negative
1212781242111971328,Negative
1214059565681168384,Negative
1214174582757842944,Positive
1212291541139644416,Positive
1214125139459297280,Neutral
1212447387588935681,Neutral
1201248222569738245,Neutral
1212171726366420992,Neutral
1201064656355377153,Neutral
1201140384396525568,Neutral
1201451167710109696,Positive
1215410142663061505,Mixed
1213101046173753344,Neutral
1212835924851204103,Neutral
1212307921436053504,Neutral
1212727294495727617,Neutral
1213185161015300101,Neutral
1213289095788580864,Neutral
1202933719033622529,Positive
1212922975542030337,Positive
1212491858548600833,Neutral
1213820331288346625,Neutral
1201040382055919617,Positive
1214227822601895936,Negative
1212181500235599872,Mixed
1201170595804827654,Neutral
1214173438937567232,Positive
1205276673576493056,Neutral
1212371209138163716,Neutral
1201498162613096448,Positive
1213054100482514949,Positive
